k,kmeans_silhouette,gmm_silhouette,gmm_bic,gmm_aic
2,0.4345518772832078,0.4831954705021213,1178.732548572876,514.484101513402
3,0.3612409819405694,0.41425869137363885,-2876.4202944668596,-3874.627905517561
4,0.41507650502714427,0.45251347933893526,-4398.641181326611,-5730.8079563685405
5,0.47094054406043084,0.4483120592071712,-7192.684489894189,-8858.810428927345
6,0.511059429605979,0.4683726223865802,-9655.24238019,-11655.327483214383
7,0.5298665017090173,0.5349381568513496,-11278.335794179378,-13612.380061194988
8,0.5958257333540956,0.5958257333540956,-12082.429186939258,-14750.432617946097
9,0.6323910734338667,0.6323910734338667,-13033.129413839593,-16035.092008837659
10,0.6394707214403229,0.6193030686514235,-13057.42756459167,-16393.349323580962
11,0.6263827166578796,0.6087133399078677,-12986.537166624461,-16656.41808960498
12,0.6082154081551486,0.6183390021930946,-13841.11671243966,-17844.956799411408
13,0.5843646356888732,0.5723779625266433,-13947.254418298275,-18285.053669261248
14,0.5786098817091514,0.5534011770290487,-13982.14424629835,-18653.902661252552
15,0.5632646810098785,0.537775038877977,-13951.129858117134,-18956.847437062563
16,0.567422667376069,0.5221393433761655,-13626.388754524418,-18966.065497461073
17,0.5608236506289613,0.5144717051782466,-13199.32898433489,-18872.964891262774
18,0.5009925028088743,0.5165253515839014,-13062.19055166267,-19069.78562258178
19,0.4934506074161155,0.5072652131992378,-12780.949916166948,-19122.504151077286
20,0.48695055329477543,0.49887893808942496,-12422.38716368664,-19097.900562588206
21,0.48105765896736397,0.4777973514375563,-12100.554220398073,-19110.026783290865
22,0.44311767987779005,0.4774461085617301,-11724.282770087742,-19067.714496971763
23,0.45106595920738063,0.4384823931404007,-11457.808155889454,-19135.1990467647
24,0.4446659219105334,0.4300961180305879,-11099.245404736263,-19110.595459602737
25,0.46516024920899957,0.42947049930533243,-10974.508877848986,-19319.818096706687
